Continent,Country,Population,Age 0-14,Age 15-64,Age 65 and more,Total Median Age,Male Median Age,Female Median Age,Population Growth Rate,Birth Rate,Death Rate,Total Life Expectancy,Male Life Expectancy,Female Life Expectancy,Total Sex Ratio,GDP 2021 (bn),GDP 2020 (bn),GDP 2019 (bn),GDP Growth Rate 2021 (%),GDP Growth Rate 2020 (%),GDP Growth Rate 2019 (%),GDP per capita 2021 (bn),GDP per capita 2020 (bn),GDP per capita 2019 (bn),Inflation Rate 2021 (%),Inflation Rate 2020 (%),Inflation Rate 2019 (%),Unemployment Rate 2021 (%),Unemployment Rate 2020 (%),Unemployment Rate 2019 (%)
Africa,"Kenya,","57,052,004 (2023 est.)","36.45% (male 10,447,425/female 10,349,611)","60.26% (male 17,196,347/female 17,185,035)","3.28% (2023 est.) (male 855,757/female 1,017,829)",20 years,19.9 years,20.1 years (2020 est.),2.09% (2023 est.),"26.01 births/1,000 population (2023 est.)","4.95 deaths/1,000 population (2023 est.)",70.04 years,68.31 years,71.82 years (2023 est.),1 male(s)/female (2023 est.),251.431 billion,233.852 billion,234.438 billion,7.52,-0.25,5.11,"4,700","4,500","4,600",6.11,5.4,5.24,"[('5.74', '2021'), ('5.73', '2020'), ('5.01', '2019')]",5.73,5.01
Africa,"Ghana,","33,846,114 (2023 est.)","37.72% (male 6,445,288/female 6,321,989)","57.92% (male 9,420,940/female 10,181,376)","4.36% (2023 est.) (male 660,991/female 815,530)",21.4 years,21 years,21.9 years (2020 est.),2.19% (2023 est.),"28.04 births/1,000 population (2023 est.)","5.99 deaths/1,000 population (2023 est.)",69.72 years,68.06 years,71.44 years (2023 est.),0.95 male(s)/female (2023 est.),178.455 billion,169.382 billion,168.516 billion,5.36,0.51,6.51,"5,400","5,300","5,300",9.97,9.89,7.14,"[('4.7', '2021'), ('4.65', '2020'), ('4.32', '2019')]",4.65,4.32
Africa,"Guinea,","13,607,249 (2023 est.)","40.96% (male 2,809,865/female 2,763,294)","55.05% (male 3,741,047/female 3,749,281)","4% (2023 est.) (male 245,323/female 298,439)",19.1 years,18.9 years,19.4 years (2020 est.),2.75% (2023 est.),"35.47 births/1,000 population (2023 est.)","7.97 deaths/1,000 population (2023 est.)",64.27 years,62.38 years,66.21 years (2023 est.),1 male(s)/female (2023 est.),35.729 billion,34.388 billion,32.775 billion,3.9,4.92,5.62,"2,600","2,600","2,500",12.6,10.6,9.47,"[('6.34', '2021'), ('6.1', '2020'), ('5.02', '2019')]",6.1,5.02
Africa,"Gambia, The,","2,468,569 (2023 est.)","38.86% (male 484,113/female 475,134)","57.57% (male 700,049/female 721,057)","3.57% (2023 est.) (male 38,954/female 49,262)",21.8 years,21.5 years,22.2 years (2020 est.),2.23% (2023 est.),"28.03 births/1,000 population (2023 est.)","5.71 deaths/1,000 population (2023 est.)",67.98 years,66.26 years,69.75 years (2023 est.),0.98 male(s)/female (2023 est.),5.482 billion,5.258 billion,5.227 billion,4.27,0.59,6.22,"2,100","2,000","2,100",7.37,5.93,7.12,"[('11.21', '2021'), ('11.08', '2020'), ('9.5', '2019')]",11.08,9.5
Africa,"Gabon,","2,397,368 (2023 est.)","35.04% (male 424,741/female 415,342)","60.76% (male 765,729/female 690,931)","4.2% (2023 est.) (male 50,920/female 49,705)",21 years,21.4 years,20.6 years (2020 est.),2.39% (2023 est.),"25.89 births/1,000 population (2023 est.)","5.59 deaths/1,000 population (2023 est.)",70.03 years,68.3 years,71.81 years (2023 est.),1.07 male(s)/female (2023 est.),32.34 billion,31.874 billion,32.471 billion,1.46,-1.84,3.92,"13,800","13,900","14,500",,1.18,2.46,"[('22.26', '2021'), ('21.97', '2020'), ('20.74', '2019')]",21.97,20.74
Africa,"Ethiopia,","116,462,712 (2023 est.)","38.91% (male 22,821,026/female 22,498,331)","57.55% (male 33,345,764/female 33,672,933)","3.54% (2023 est.) (male 1,887,831/female 2,236,827)",19.8 years,19.6 years,20.1 years (2020 est.),2.42% (2023 est.),"29.97 births/1,000 population (2023 est.)","5.6 deaths/1,000 population (2023 est.)",68.59 years,66.43 years,70.81 years (2023 est.),0.99 male(s)/female (2023 est.),278.945 billion,264.059 billion,248.972 billion,5.64,6.06,8.36,"2,300","2,300","2,200",26.84,20.36,15.81,"[('3.69', '2021'), ('3.24', '2020'), ('2.33', '2019')]",3.24,2.33
Africa,"Eritrea,","6,274,796 (2023 est.)","36.27% (male 1,145,134/female 1,130,829)","59.73% (male 1,842,953/female 1,904,677)","4% (2023 est.) (male 100,158/female 151,045)",20.3 years,19.7 years,20.8 years (2020 est.),1.08% (2023 est.),"26.72 births/1,000 population (2023 est.)","6.6 deaths/1,000 population (2023 est.)",67.19 years,64.56 years,69.89 years (2023 est.),0.97 male(s)/female (2023 est.),,,,,,,,,,,,,"[('8.05', '2021'), ('7.86', '2020'), ('5.99', '2019')]",7.86,5.99
Africa,"Equatorial Guinea,","1,737,695 (2023 est.)","36.05% (male 323,846/female 302,666)","59.01% (male 561,260/female 464,130)","4.94% (2023 est.) (male 44,561/female 41,232)",20.3 years,19.9 years,20.7 years (2020 est.),3.36% (2023 est.),"29.46 births/1,000 population (2023 est.)","8.9 deaths/1,000 population (2023 est.)",63.8 years,61.53 years,66.13 years (2023 est.),1.15 male(s)/female (2023 est.),23.924 billion,24.152 billion,25.222 billion,-0.95,-4.24,-5.48,"14,600","15,100","16,200",,4.77,1.24,"[('9.24', '2021'), ('9.9', '2020'), ('8.68', '2019')]",9.9,8.68
Africa,"Egypt,","109,546,720 (2023 est.)","34.37% (male 19,381,371/female 18,271,080)","60.27% (male 33,921,778/female 32,102,087)","5.36% (2023 est.) (male 2,976,765/female 2,893,639)",24.1 years,23.8 years,24.5 years (2020 est.),1.59% (2023 est.),"20.48 births/1,000 population (2023 est.)","4.32 deaths/1,000 population (2023 est.)",74.72 years,73.53 years,75.98 years (2023 est.),1.06 male(s)/female (2023 est.),1.264 trillion,1.223 trillion,1.181 trillion,3.33,3.57,5.56,"11,600","11,400","11,200",5.21,5.04,9.15,"[('9.33', '2021'), ('9.17', '2020'), ('7.84', '2019')]",9.17,7.84
Africa,"Lesotho,","2,210,646 (2023 est.)","32.4% (male 360,327/female 355,863)","62.21% (male 688,373/female 686,911)","5.39% (2023 est.) (male 44,313/female 74,859)",24.7 years,24.7 years,24.7 years (2020 est.),0.76% (2023 est.),"23.01 births/1,000 population (2023 est.)","10.9 deaths/1,000 population (2023 est.)",59.87 years,57.85 years,61.95 years (2023 est.),0.98 male(s)/female (2023 est.),5.236 billion,5.167 billion,5.638 billion,1.35,-8.36,0.93,"2,300","2,300","2,500",6.05,4.98,5.19,"[('24.6', '2021'), ('24.56', '2020'), ('22.44', '2019')]",24.56,22.44
Africa,"Eswatini,","1,130,043 (2023 est.)","32.16% (male 181,886/female 181,491)","63.88% (male 336,243/female 385,599)","3.97% (2023 est.) (male 16,654/female 28,170)",23.7 years,22.5 years,24.7 years (2020 est.),0.72% (2023 est.),"22.83 births/1,000 population (2023 est.)","9.53 deaths/1,000 population (2023 est.)",60.22 years,58.17 years,62.33 years (2023 est.),0.9 male(s)/female (2023 est.),10.56 billion,9.788 billion,9.943 billion,7.88,-1.56,2.7,"8,900","8,300","8,500",,,2.6,"[('25.76', '2021'), ('25.51', '2020'), ('22.84', '2019')]",25.51,22.84
Africa,"Djibouti,","976,143 (2023 est.)","28.65% (male 140,365/female 139,299)","67.21% (male 284,488/female 371,529)","4.15% (2023 est.) (male 17,757/female 22,705)",24.9 years,23 years,26.4 years (2020 est.),1.93% (2023 est.),"22.03 births/1,000 population (2023 est.)","7.08 deaths/1,000 population (2023 est.)",65.61 years,63.04 years,68.25 years (2023 est.),0.83 male(s)/female (2023 est.),5.432 billion,5.182 billion,5.121 billion,4.81,1.2,5.55,"4,900","4,800","4,800",,1.78,3.32,"[('28.39', '2021'), ('28.39', '2020'), ('26.36', '2019')]",28.39,26.36
